Year,Race,Household_Income_by_Race1,Household_Income_by_Race2,Household_Income_by_RaceMoe,Geography,Census_Tract_No,County,State,ID_Geography,Geoid10
2017,Total,36182," $36,182 "," $11,389 ","Census Tract 4603.01, Cook County, IL",4603.01,Cook County,IL,14000US17031460301,17031460301
2017,Total,26098," $26,098 "," $4,047 ","Census Tract 2712, Cook County, IL",2712,Cook County,IL,14000US17031271200,17031271200
2017,Total,24878," $24,878 "," $22,262 ","Census Tract 2713, Cook County, IL",2713,Cook County,IL,14000US17031271300,17031271300
2017,Total,116071," $116,071 "," $20,018 ","Census Tract 8331, Cook County, IL",8331,Cook County,IL,14000US17031833100,17031833100
2017,Total,27925," $27,925 "," $6,734 ","Census Tract 4602, Cook County, IL",4602,Cook County,IL,14000US17031460200,17031460200
2017,Total,24271," $24,271 "," $16,298 ","Census Tract 2714, Cook County, IL",2714,Cook County,IL,14000US17031271400,17031271400
2017,Total,30729," $30,729 "," $10,485 ","Census Tract 2715, Cook County, IL",2715,Cook County,IL,14000US17031271500,17031271500
2017,Total,42383," $42,383 "," $7,795 ","Census Tract 7705, Cook County, IL",7705,Cook County,IL,14000US17031770500,17031770500
2017,Total,31094," $31,094 "," $4,270 ","Census Tract 4601, Cook County, IL",4601,Cook County,IL,14000US17031460100,17031460100
2017,Total,16477," $16,477 "," $3,083 ","Census Tract 2718, Cook County, IL",2718,Cook County,IL,14000US17031271800,17031271800
2017,Total,129148," $129,148 "," $12,671 ","Census Tract 2801, Cook County, IL",2801,Cook County,IL,14000US17031280100,17031280100
2017,Total,133571," $133,571 "," $31,782 ","Census Tract 8330, Cook County, IL",8330,Cook County,IL,14000US17031833000,17031833000
2017,Total,45156," $45,156 "," $10,383 ","Census Tract 4503, Cook County, IL",4503,Cook County,IL,14000US17031450300,17031450300
2017,Total,35275," $35,275 "," $20,006 ","Census Tract 2804, Cook County, IL",2804,Cook County,IL,14000US17031280400,17031280400
2017,Total,21250," $21,250 "," $8,721 ","Census Tract 2808, Cook County, IL",2808,Cook County,IL,14000US17031280800,17031280800
2017,Total,34050," $34,050 "," $14,044 ","Census Tract 4409, Cook County, IL",4409,Cook County,IL,14000US17031440900,17031440900
2017,Total,19485," $19,485 "," $4,584 ","Census Tract 2809, Cook County, IL",2809,Cook County,IL,14000US17031280900,17031280900
2017,Total,88708," $88,708 "," $12,406 ","Census Tract 2819, Cook County, IL",2819,Cook County,IL,14000US17031281900,17031281900
2017,Total,53911," $53,911 "," $14,629 ","Census Tract 8329, Cook County, IL",8329,Cook County,IL,14000US17031832900,17031832900
2017,Total,19833," $19,833 "," $5,067 ","Census Tract 4408, Cook County, IL",4408,Cook County,IL,14000US17031440800,17031440800
2017,Total,67467," $67,467 "," $6,512 ","Census Tract 2827, Cook County, IL",2827,Cook County,IL,14000US17031282700,17031282700
2017,Total,53438," $53,438 "," $9,995 ","Census Tract 2828, Cook County, IL",2828,Cook County,IL,14000US17031282800,17031282800
2017,Total,59274," $59,274 "," $9,965 ","Census Tract 7706.02, Cook County, IL",7706.02,Cook County,IL,14000US17031770602,17031770602
2017,Total,37500," $37,500 "," $17,475 ","Census Tract 4407, Cook County, IL",4407,Cook County,IL,14000US17031440700,17031440700
2017,Total,42917," $42,917 "," $15,148 ","Census Tract 2831, Cook County, IL",2831,Cook County,IL,14000US17031283100,17031283100
2017,Total,78750," $78,750 "," $16,194 ","Census Tract 2832, Cook County, IL",2832,Cook County,IL,14000US17031283200,17031283200
2017,Total,148017," $148,017 "," $8,432 ","Census Tract 8326, Cook County, IL",8326,Cook County,IL,14000US17031832600,17031832600
2017,Total,59924," $59,924 "," $12,529 ","Census Tract 4406, Cook County, IL",4406,Cook County,IL,14000US17031440600,17031440600
2017,Total,62548," $62,548 "," $24,429 ","Census Tract 2838, Cook County, IL",2838,Cook County,IL,14000US17031283800,17031283800
2017,Total,24071," $24,071 "," $5,542 ","Census Tract 2909, Cook County, IL",2909,Cook County,IL,14000US17031290900,17031290900
2017,Total,55259," $55,259 "," $8,037 ","Census Tract 4403, Cook County, IL",4403,Cook County,IL,14000US17031440300,17031440300
2017,Total,24650," $24,650 "," $6,411 ","Census Tract 2912, Cook County, IL",2912,Cook County,IL,14000US17031291200,17031291200
2017,Total,48180," $48,180 "," $7,473 ","Census Tract 2916, Cook County, IL",2916,Cook County,IL,14000US17031291600,17031291600
2017,Total,116935," $116,935 "," $16,587 ","Census Tract 8325, Cook County, IL",8325,Cook County,IL,14000US17031832500,17031832500
2017,Total,35242," $35,242 "," $11,379 ","Census Tract 4402.02, Cook County, IL",4402.02,Cook County,IL,14000US17031440202,17031440202
2017,Total,31902," $31,902 "," $10,875 ","Census Tract 2922, Cook County, IL",2922,Cook County,IL,14000US17031292200,17031292200
2017,Total,29018," $29,018 "," $3,274 ","Census Tract 2924, Cook County, IL",2924,Cook County,IL,14000US17031292400,17031292400
2017,Total,58095," $58,095 "," $7,181 ","Census Tract 7707, Cook County, IL",7707,Cook County,IL,14000US17031770700,17031770700
2017,Total,32143," $32,143 "," $10,924 ","Census Tract 4402.01, Cook County, IL",4402.01,Cook County,IL,14000US17031440201,17031440201
2017,Total,40324," $40,324 "," $6,440 ","Census Tract 2925, Cook County, IL",2925,Cook County,IL,14000US17031292500,17031292500
2017,Total,38047," $38,047 "," $3,680 ","Census Tract 3005, Cook County, IL",3005,Cook County,IL,14000US17031300500,17031300500
2017,Total,95547," $95,547 "," $17,035 ","Census Tract 8324, Cook County, IL",8324,Cook County,IL,14000US17031832400,17031832400
2017,Total,25116," $25,116 "," $7,555 ","Census Tract 4401.02, Cook County, IL",4401.02,Cook County,IL,14000US17031440102,17031440102
2017,Total,41286," $41,286 "," $7,651 ","Census Tract 3006, Cook County, IL",3006,Cook County,IL,14000US17031300600,17031300600
2017,Total,34153," $34,153 "," $5,850 ","Census Tract 3007, Cook County, IL",3007,Cook County,IL,14000US17031300700,17031300700
2017,Total,21623," $21,623 "," $4,627 ","Census Tract 4401.01, Cook County, IL",4401.01,Cook County,IL,14000US17031440101,17031440101
2017,Total,29844," $29,844 "," $3,509 ","Census Tract 3008, Cook County, IL",3008,Cook County,IL,14000US17031300800,17031300800
2017,Total,27859," $27,859 "," $4,497 ","Census Tract 3009, Cook County, IL",3009,Cook County,IL,14000US17031300900,17031300900
2017,Total,105556," $105,556 "," $12,530 ","Census Tract 8323, Cook County, IL",8323,Cook County,IL,14000US17031832300,17031832300
2017,Total,21781," $21,781 "," $2,827 ","Census Tract 4314, Cook County, IL",4314,Cook County,IL,14000US17031431400,17031431400
2017,Total,28135," $28,135 "," $2,956 ","Census Tract 3011, Cook County, IL",3011,Cook County,IL,14000US17031301100,17031301100
2017,Total,26076," $26,076 "," $1,861 ","Census Tract 3012, Cook County, IL",3012,Cook County,IL,14000US17031301200,17031301200
2017,Total,60017," $60,017 "," $6,032 ","Census Tract 7708, Cook County, IL",7708,Cook County,IL,14000US17031770800,17031770800
2017,Total,19756," $19,756 "," $9,641 ","Census Tract 4313.02, Cook County, IL",4313.02,Cook County,IL,14000US17031431302,17031431302
2017,Total,32375," $32,375 "," $9,496 ","Census Tract 3016, Cook County, IL",3016,Cook County,IL,14000US17031301600,17031301600
2017,Total,31775," $31,775 "," $8,136 ","Census Tract 3017.01, Cook County, IL",3017.01,Cook County,IL,14000US17031301701,17031301701
2017,Total,91723," $91,723 "," $17,655 ","Census Tract 8322, Cook County, IL",8322,Cook County,IL,14000US17031832200,17031832200
2017,Total,20625," $20,625 "," $4,817 ","Census Tract 4313.01, Cook County, IL",4313.01,Cook County,IL,14000US17031431301,17031431301
2017,Total,40417," $40,417 "," $7,039 ","Census Tract 3017.02, Cook County, IL",3017.02,Cook County,IL,14000US17031301702,17031301702
2017,Total,35784," $35,784 "," $6,330 ","Census Tract 3018.01, Cook County, IL",3018.01,Cook County,IL,14000US17031301801,17031301801
2017,Total,43871," $43,871 "," $17,676 ","Census Tract 4312, Cook County, IL",4312,Cook County,IL,14000US17031431200,17031431200
2017,Total,32500," $32,500 "," $7,156 ","Census Tract 3018.02, Cook County, IL",3018.02,Cook County,IL,14000US17031301802,17031301802
2017,Total,35960," $35,960 "," $5,201 ","Census Tract 3018.03, Cook County, IL",3018.03,Cook County,IL,14000US17031301803,17031301803
2017,Total,69476," $69,476 "," $13,487 ","Census Tract 8321, Cook County, IL",8321,Cook County,IL,14000US17031832100,17031832100
2017,Total,34286," $34,286 "," $18,412 ","Census Tract 4309, Cook County, IL",4309,Cook County,IL,14000US17031430900,17031430900
2017,Total,57273," $57,273 "," $10,446 ","Census Tract 3102, Cook County, IL",3102,Cook County,IL,14000US17031310200,17031310200
2017,Total,48542," $48,542 "," $11,059 ","Census Tract 3103, Cook County, IL",3103,Cook County,IL,14000US17031310300,17031310300
2017,Total,58718," $58,718 "," $4,175 ","Census Tract 7709.02, Cook County, IL",7709.02,Cook County,IL,14000US17031770902,17031770902
2017,Total,41875," $41,875 "," $11,344 ","Census Tract 4308, Cook County, IL",4308,Cook County,IL,14000US17031430800,17031430800
2017,Total,52379," $52,379 "," $15,326 ","Census Tract 3104, Cook County, IL",3104,Cook County,IL,14000US17031310400,17031310400
2017,Total,45781," $45,781 "," $19,803 ","Census Tract 3105, Cook County, IL",3105,Cook County,IL,14000US17031310500,17031310500
2017,Total,105625," $105,625 "," $20,996 ","Census Tract 8320, Cook County, IL",8320,Cook County,IL,14000US17031832000,17031832000
2017,Total,19093," $19,093 "," $6,586 ","Census Tract 4307, Cook County, IL",4307,Cook County,IL,14000US17031430700,17031430700
2017,Total,31991," $31,991 "," $6,943 ","Census Tract 3106, Cook County, IL",3106,Cook County,IL,14000US17031310600,17031310600
2017,Total,43173," $43,173 "," $13,671 ","Census Tract 3107, Cook County, IL",3107,Cook County,IL,14000US17031310700,17031310700
2017,Total,23300," $23,300 "," $7,667 ","Census Tract 4306, Cook County, IL",4306,Cook County,IL,14000US17031430600,17031430600
2017,Total,48243," $48,243 "," $13,380 ","Census Tract 3108, Cook County, IL",3108,Cook County,IL,14000US17031310800,17031310800
2017,Total,36913," $36,913 "," $8,699 ","Census Tract 3109, Cook County, IL",3109,Cook County,IL,14000US17031310900,17031310900
2017,Total,101612," $101,612 "," $12,882 ","Census Tract 8319, Cook County, IL",8319,Cook County,IL,14000US17031831900,17031831900
2017,Total,19129," $19,129 "," $1,781 ","Census Tract 4305, Cook County, IL",4305,Cook County,IL,14000US17031430500,17031430500
2017,Total,116587," $116,587 "," $12,536 ","Census Tract 3201, Cook County, IL",3201,Cook County,IL,14000US17031320100,17031320100
2017,Total,160833," $160,833 "," $27,206 ","Census Tract 3204, Cook County, IL",3204,Cook County,IL,14000US17031320400,17031320400
2017,Total,102753," $102,753 "," $6,466 ","Census Tract 8104, Cook County, IL",8104,Cook County,IL,14000US17031810400,17031810400
2017,Total,15469," $15,469 "," $11,139 ","Census Tract 4304, Cook County, IL",4304,Cook County,IL,14000US17031430400,17031430400
2017,Total,101311," $101,311 "," $13,567 ","Census Tract 3206, Cook County, IL",3206,Cook County,IL,14000US17031320600,17031320600
2017,Total,97897," $97,897 "," $8,637 ","Census Tract 3301, Cook County, IL",3301,Cook County,IL,14000US17031330100,17031330100
2017,Total,60625," $60,625 "," $10,149 ","Census Tract 8318, Cook County, IL",8318,Cook County,IL,14000US17031831800,17031831800
2017,Total,15902," $15,902 "," $3,494 ","Census Tract 4303, Cook County, IL",4303,Cook County,IL,14000US17031430300,17031430300
2017,Total,78925," $78,925 "," $10,463 ","Census Tract 3302, Cook County, IL",3302,Cook County,IL,14000US17031330200,17031330200
2017,Total,32321," $32,321 "," $11,046 ","Census Tract 3403, Cook County, IL",3403,Cook County,IL,14000US17031340300,17031340300
2017,Total,22419," $22,419 "," $6,501 ","Census Tract 4302, Cook County, IL",4302,Cook County,IL,14000US17031430200,17031430200
2017,Total,34712," $34,712 "," $14,850 ","Census Tract 3404, Cook County, IL",3404,Cook County,IL,14000US17031340400,17031340400
2017,Total,25242," $25,242 "," $9,180 ","Census Tract 3405, Cook County, IL",3405,Cook County,IL,14000US17031340500,17031340500
2017,Total,57727," $57,727 "," $11,558 ","Census Tract 8317, Cook County, IL",8317,Cook County,IL,14000US17031831700,17031831700
2017,Total,22725," $22,725 "," $4,158 ","Census Tract 4301.02, Cook County, IL",4301.02,Cook County,IL,14000US17031430102,17031430102
2017,Total,11622," $11,622 "," $2,053 ","Census Tract 3406, Cook County, IL",3406,Cook County,IL,14000US17031340600,17031340600
2017,Total,43548," $43,548 "," $4,458 ","Census Tract 3501, Cook County, IL",3501,Cook County,IL,14000US17031350100,17031350100
2017,Total,39602," $39,602 "," $7,924 ","Census Tract 8305, Cook County, IL",8305,Cook County,IL,14000US17031830500,17031830500
2017,Total,32292," $32,292 "," $9,093 ","Census Tract 4301.01, Cook County, IL",4301.01,Cook County,IL,14000US17031430101,17031430101
2017,Total,10980," $10,980 "," $1,658 ","Census Tract 3504, Cook County, IL",3504,Cook County,IL,14000US17031350400,17031350400
2017,Total,46850," $46,850 "," $6,945 ","Census Tract 3510, Cook County, IL",3510,Cook County,IL,14000US17031351000,17031351000
2017,Total,42077," $42,077 "," $6,429 ","Census Tract 8316, Cook County, IL",8316,Cook County,IL,14000US17031831600,17031831600
2017,Total,21792," $21,792 "," $6,312 ","Census Tract 4212, Cook County, IL",4212,Cook County,IL,14000US17031421200,17031421200
2017,Total,10825," $10,825 "," $1,725 ","Census Tract 3511, Cook County, IL",3511,Cook County,IL,14000US17031351100,17031351100
2017,Total,13149," $13,149 "," $3,095 ","Census Tract 3514, Cook County, IL",3514,Cook County,IL,14000US17031351400,17031351400
2017,Total,35476," $35,476 "," $12,567 ","Census Tract 4208, Cook County, IL",4208,Cook County,IL,14000US17031420800,17031420800
2017,Total,23700," $23,700 "," $4,328 ","Census Tract 3515, Cook County, IL",3515,Cook County,IL,14000US17031351500,17031351500
2017,Total,23594," $23,594 "," $8,376 ","Census Tract 3602, Cook County, IL",3602,Cook County,IL,14000US17031360200,17031360200
2017,Total,57847," $57,847 "," $12,610 ","Census Tract 8315, Cook County, IL",8315,Cook County,IL,14000US17031831500,17031831500
2017,Total,19042," $19,042 "," $4,202 ","Census Tract 4207, Cook County, IL",4207,Cook County,IL,14000US17031420700,17031420700
2017,Total,19328," $19,328 "," $3,510 ","Census Tract 3801, Cook County, IL",3801,Cook County,IL,14000US17031380100,17031380100
2017,Total,20536," $20,536 "," $6,285 ","Census Tract 3802, Cook County, IL",3802,Cook County,IL,14000US17031380200,17031380200
2017,Total,49138," $49,138 "," $7,258 ","Census Tract 8306, Cook County, IL",8306,Cook County,IL,14000US17031830600,17031830600
2017,Total,19801," $19,801 "," $8,287 ","Census Tract 4206, Cook County, IL",4206,Cook County,IL,14000US17031420600,17031420600
2017,Total,19358," $19,358 "," $2,473 ","Census Tract 3805, Cook County, IL",3805,Cook County,IL,14000US17031380500,17031380500
2017,Total,35833," $35,833 "," $10,346 ","Census Tract 3807, Cook County, IL",3807,Cook County,IL,14000US17031380700,17031380700
2017,Total,33381," $33,381 "," $6,077 ","Census Tract 8314, Cook County, IL",8314,Cook County,IL,14000US17031831400,17031831400
2017,Total,25781," $25,781 "," $11,740 ","Census Tract 4205, Cook County, IL",4205,Cook County,IL,14000US17031420500,17031420500
2017,Total,38370," $38,370 "," $16,830 ","Census Tract 3812, Cook County, IL",3812,Cook County,IL,14000US17031381200,17031381200
2017,Total,38167," $38,167 "," $9,105 ","Census Tract 3814, Cook County, IL",3814,Cook County,IL,14000US17031381400,17031381400
2017,Total,14389," $14,389 "," $4,542 ","Census Tract 4204, Cook County, IL",4204,Cook County,IL,14000US17031420400,17031420400
2017,Total,36375," $36,375 "," $15,964 ","Census Tract 3818, Cook County, IL",3818,Cook County,IL,14000US17031381800,17031381800
2017,Total,35375," $35,375 "," $6,957 ","Census Tract 8313, Cook County, IL",8313,Cook County,IL,14000US17031831300,17031831300
2017,Total,39400," $39,400 "," $14,495 ","Census Tract 3819, Cook County, IL",3819,Cook County,IL,14000US17031381900,17031381900
2017,Total,31849," $31,849 "," $11,802 ","Census Tract 4203, Cook County, IL",4203,Cook County,IL,14000US17031420300,17031420300
2017,Total,74318," $74,318 "," $23,624 ","Census Tract 3901, Cook County, IL",3901,Cook County,IL,14000US17031390100,17031390100
2017,Total,44661," $44,661 "," $9,223 ","Census Tract 8307, Cook County, IL",8307,Cook County,IL,14000US17031830700,17031830700
2017,Total,75375," $75,375 "," $45,386 ","Census Tract 3902, Cook County, IL",3902,Cook County,IL,14000US17031390200,17031390200
2017,Total,32303," $32,303 "," $16,949 ","Census Tract 4202, Cook County, IL",4202,Cook County,IL,14000US17031420200,17031420200
2017,Total,21769," $21,769 "," $5,041 ","Census Tract 3903, Cook County, IL",3903,Cook County,IL,14000US17031390300,17031390300
2017,Total,36190," $36,190 "," $6,467 ","Census Tract 8312, Cook County, IL",8312,Cook County,IL,14000US17031831200,17031831200
2017,Total,24848," $24,848 "," $7,480 ","Census Tract 3904, Cook County, IL",3904,Cook County,IL,14000US17031390400,17031390400
2017,Total,19855," $19,855 "," $3,394 ","Census Tract 4201, Cook County, IL",4201,Cook County,IL,14000US17031420100,17031420100
2017,Total,44231," $44,231 "," $10,963 ","Census Tract 3905, Cook County, IL",3905,Cook County,IL,14000US17031390500,17031390500
2017,Total,84333," $84,333 "," $17,624 ","Census Tract 4112, Cook County, IL",4112,Cook County,IL,14000US17031411200,17031411200
2017,Total,82159," $82,159 "," $17,663 ","Census Tract 3906, Cook County, IL",3906,Cook County,IL,14000US17031390600,17031390600
2017,Total,53015," $53,015 "," $10,866 ","Census Tract 3907, Cook County, IL",3907,Cook County,IL,14000US17031390700,17031390700
2017,Total,56328," $56,328 "," $9,348 ","Census Tract 8311, Cook County, IL",8311,Cook County,IL,14000US17031831100,17031831100
2017,Total,29417," $29,417 "," $16,339 ","Census Tract 4003, Cook County, IL",4003,Cook County,IL,14000US17031400300,17031400300
2017,Total,108750," $108,750 "," $27,104 ","Census Tract 4111, Cook County, IL",4111,Cook County,IL,14000US17031411100,17031411100
2017,Total,32310," $32,310 "," $3,731 ","Census Tract 4004, Cook County, IL",4004,Cook County,IL,14000US17031400400,17031400400
2017,Total,71607," $71,607 "," $10,261 ","Census Tract 8308, Cook County, IL",8308,Cook County,IL,14000US17031830800,17031830800
2017,Total,24907," $24,907 "," $5,633 ","Census Tract 4005, Cook County, IL",4005,Cook County,IL,14000US17031400500,17031400500
2017,Total,71268," $71,268 "," $8,436 ","Census Tract 4110, Cook County, IL",4110,Cook County,IL,14000US17031411000,17031411000
2017,Total,20959," $20,959 "," $5,430 ","Census Tract 4008, Cook County, IL",4008,Cook County,IL,14000US17031400800,17031400800
2017,Total,152794," $152,794 "," $28,783 ","Census Tract 8310, Cook County, IL",8310,Cook County,IL,14000US17031831000,17031831000
2017,Total,43723," $43,723 "," $8,031 ","Census Tract 4101, Cook County, IL",4101,Cook County,IL,14000US17031410100,17031410100
2017,Total,52788," $52,788 "," $4,729 ","Census Tract 4109, Cook County, IL",4109,Cook County,IL,14000US17031410900,17031410900
2017,Total,40029," $40,029 "," $8,152 ","Census Tract 4102, Cook County, IL",4102,Cook County,IL,14000US17031410200,17031410200
2017,Total,40469," $40,469 "," $8,772 ","Census Tract 4108, Cook County, IL",4108,Cook County,IL,14000US17031410800,17031410800
2017,Total,47614," $47,614 "," $23,665 ","Census Tract 4105, Cook County, IL",4105,Cook County,IL,14000US17031410500,17031410500
2017,Total,33712," $33,712 "," $7,728 ","Census Tract 4106, Cook County, IL",4106,Cook County,IL,14000US17031410600,17031410600
2017,Total,96553," $96,553 "," $12,520 ","Census Tract 8309, Cook County, IL",8309,Cook County,IL,14000US17031830900,17031830900
2017,Total,38516," $38,516 "," $9,203 ","Census Tract 4107, Cook County, IL",4107,Cook County,IL,14000US17031410700,17031410700
