Year,Race,Household_Income_by_Race1,Household_Income_by_Race2,Household_Income_by_RaceMoe,Geography,Census_Tract_No,County,State,ID_Geography,Geoid10
2017,Total,22057," $22,057 "," $4,700 ","Census Tract 6603.01, Cook County, IL",6603.01,Cook County,IL,14000US17031660301,17031660301
2017,Total,95488," $95,488 "," $4,904 ","Census Tract 634, Cook County, IL",634,Cook County,IL,14000US17031063400,17031063400
2017,Total,69222," $69,222 "," $9,142 ","Census Tract 701.01, Cook County, IL",701.01,Cook County,IL,14000US17031070101,17031070101
2017,Total,48750," $48,750 "," $8,139 ","Census Tract 8413, Cook County, IL",8413,Cook County,IL,14000US17031841300,17031841300
2017,Total,37434," $37,434 "," $6,542 ","Census Tract 7114, Cook County, IL",7114,Cook County,IL,14000US17031711400,17031711400
2017,Total,67000," $67,000 "," $15,865 ","Census Tract 701.02, Cook County, IL",701.02,Cook County,IL,14000US17031070102,17031070102
2017,Total,60459," $60,459 "," $8,600 ","Census Tract 6505, Cook County, IL",6505,Cook County,IL,14000US17031650500,17031650500
2017,Total,57963," $57,963 "," $3,961 ","Census Tract 701.03, Cook County, IL",701.03,Cook County,IL,14000US17031070103,17031070103
2017,Total,49135," $49,135 "," $5,644 ","Census Tract 6504, Cook County, IL",6504,Cook County,IL,14000US17031650400,17031650400
2017,Total,84668," $84,668 "," $10,503 ","Census Tract 702, Cook County, IL",702,Cook County,IL,14000US17031070200,17031070200
2017,Total,120139," $120,139 "," $21,465 ","Census Tract 703, Cook County, IL",703,Cook County,IL,14000US17031070300,17031070300
2017,Total,36104," $36,104 "," $4,086 ","Census Tract 8412, Cook County, IL",8412,Cook County,IL,14000US17031841200,17031841200
2017,Total,47477," $47,477 "," $10,782 ","Census Tract 6503.02, Cook County, IL",6503.02,Cook County,IL,14000US17031650302,17031650302
2017,Total,90125," $90,125 "," $31,724 ","Census Tract 704, Cook County, IL",704,Cook County,IL,14000US17031070400,17031070400
2017,Total,120885," $120,885 "," $19,049 ","Census Tract 705, Cook County, IL",705,Cook County,IL,14000US17031070500,17031070500
